Library,Compound,161,217,235,238,242,243,244
ChemBridge Microformat,6164454,--,--,--,0,--,--,--
ChemBridge Microformat,6164453,--,--,--,0,--,--,--
ChemBridge Microformat,6164479,--,--,--,0,--,--,--
ChemBridge Microformat,6164467,--,--,--,0,--,--,--
ChemBridge Microformat,5863674,--,--,--,0,--,--,--
ChemBridge Microformat,5863670,--,--,--,0,--,--,--
ChemBridge Microformat,5826980,--,--,--,0,--,--,--
ChemBridge Microformat,5826716,--,--,--,0,--,--,--
ChemBridge Microformat,5823575,--,--,--,0,--,--,--
ChemBridge Microformat,5863198,--,--,--,0,--,--,--
ChemBridge Microformat,5822021,--,--,--,0,--,--,--
ChemBridge Microformat,5820910,--,--,--,1,--,--,--
ChemBridge Microformat,5863583,--,--,--,0,--,--,--
ChemBridge Microformat,5863376,--,--,--,0,--,--,--
ChemBridge Microformat,5824493,--,--,--,0,--,--,--
ChemBridge Microformat,5863592,--,--,--,0,--,--,--
ChemBridge Microformat,6112170,--,--,--,0,--,--,--
ChemBridge Microformat,6112068,--,--,--,0,--,--,--
ChemBridge Microformat,6112009,--,--,--,0,--,--,--
ChemBridge Microformat,6111708,--,--,--,0,--,--,--
ChemBridge Microformat,6112468,--,--,--,0,--,--,--
ChemBridge Microformat,6112428,--,--,--,0,--,--,--
ChemBridge Microformat,6112383,--,--,--,0,--,--,--
ChemBridge Microformat,6112369,--,--,--,0,--,--,--
ChemBridge Microformat,6112692,--,--,--,0,--,--,--
ChemBridge Microformat,6112571,--,--,--,0,--,--,--
ChemBridge Microformat,6238992,--,--,--,0,--,--,--
ChemBridge Microformat,6238990,--,--,--,0,--,--,--
ChemBridge Microformat,6177377,--,--,--,0,--,--,--
ChemBridge Microformat,6238979,--,--,--,0,--,--,--
ChemBridge Microformat,6238977,--,--,--,0,--,--,--
ChemBridge Microformat,6176822,--,--,--,0,--,--,--
ChemBridge Microformat,6177037,--,--,--,0,--,--,--
ChemBridge Microformat,6238952,--,--,--,0,--,--,--
ChemBridge Microformat,6177584,--,--,--,0,--,--,--
ChemBridge Microformat,6177560,--,--,--,0,--,--,--
ChemBridge Microformat,6238996,--,--,--,0,--,--,--
ChemBridge Microformat,6238995,--,--,--,0,--,--,--
ChemBridge Microformat,5672713,--,--,--,0,--,--,--
ChemBridge Microformat,6124328,--,--,--,0,--,--,--
ChemBridge Microformat,5727096,--,--,--,0,--,--,--
ChemBridge Microformat,6124401,--,--,--,0,--,--,--
ChemBridge Microformat,5726671,--,--,--,0,--,--,--
ChemBridge Microformat,6124467,--,--,--,0,--,--,--
ChemBridge Microformat,6124431,--,--,--,0,--,--,--
ChemBridge Microformat,5727150,--,--,--,0,--,--,--
ChemBridge Microformat,6076242,--,--,--,0,--,--,--
ChemBridge Microformat,6133730,--,--,--,0,--,--,--
ChemBridge Microformat,5763330,--,--,--,0,--,--,--
ChemBridge Microformat,6038630,--,--,--,0,--,--,--
ChemBridge Microformat,5739895,--,--,--,0,--,--,--
ChemBridge Microformat,6086900,--,--,--,0,--,--,--
ChemBridge Microformat,5739813,--,--,--,0,--,--,--
ChemBridge Microformat,5739855,--,--,--,0,--,--,--
ChemBridge Microformat,5739598,--,--,--,0,--,--,--
ChemBridge Microformat,5739740,--,--,--,0,--,--,--
ChemBridge Microformat,5739499,--,--,--,0,--,--,--
ChemBridge Microformat,5739506,--,--,--,0,--,--,--
ChemBridge Microformat,6087127,--,--,--,0,--,--,--
ChemBridge Microformat,5739992,--,--,--,0,--,--,--
ChemBridge Microformat,5740003,--,--,--,0,--,--,--
ChemBridge Microformat,6233551,--,--,--,0,--,--,--
ChemBridge Microformat,6233560,--,--,--,0,--,--,--
ChemBridge Microformat,6233314,--,--,--,0,--,--,--
ChemBridge Microformat,6233487,--,--,--,0,--,--,--
ChemBridge Microformat,6233033,--,--,--,0,--,--,--
ChemBridge Microformat,6233274,--,--,--,0,--,--,--
ChemBridge Microformat,6232999,--,--,--,0,--,--,--
ChemBridge Microformat,6233025,--,--,--,1,--,--,--
ChemBridge Microformat,6015965,--,--,--,0,--,--,--
ChemBridge Microformat,6233653,--,--,--,0,--,--,--
ChemBridge Microformat,6086240,--,--,--,0,--,--,--
ChemBridge Microformat,5537965,--,--,--,0,--,--,--
ChemBridge Microformat,5537801,--,--,--,0,--,--,--
ChemBridge Microformat,5537744,--,--,--,0,--,--,--
ChemBridge Microformat,5537667,--,--,--,0,--,--,--
ChemBridge Microformat,5538581,--,--,--,0,--,--,--
ChemBridge Microformat,6067364,--,--,--,0,--,--,--
ChemBridge Microformat,5538330,--,--,--,0,--,--,--
ChemBridge Microformat,5538120,--,--,--,0,--,--,--
ChemBridge Microformat,5539083,--,--,--,0,--,--,--
ChemBridge Microformat,6086514,--,--,--,0,--,--,--
ChemBridge Microformat,6128570,--,--,--,0,--,--,--
ChemBridge Microformat,5102236,--,--,--,0,--,--,--
ChemBridge Microformat,6128677,--,--,--,0,--,--,--
ChemBridge Microformat,6128719,--,--,--,0,--,--,--
ChemBridge Microformat,6128409,--,--,--,0,--,--,--
ChemBridge Microformat,6128474,--,--,--,0,--,--,--
ChemBridge Microformat,6128488,--,--,--,0,--,--,--
ChemBridge Microformat,5492642,--,--,--,0,--,--,--
ChemBridge Microformat,6128740,--,--,--,0,--,--,--
ChemBridge Microformat,5102359,--,--,--,0,--,--,--
ChemBridge Microformat,6068985,--,--,--,0,--,--,--
ChemBridge Microformat,6068940,--,--,--,0,--,--,--
ChemBridge Microformat,6069015,--,--,--,0,--,--,--
ChemBridge Microformat,6069012,--,--,--,0,--,--,--
ChemBridge Microformat,6069029,--,--,--,0,--,--,--
ChemBridge Microformat,6069018,--,--,--,0,--,--,--
ChemBridge Microformat,6069050,--,--,--,0,--,--,--
ChemBridge Microformat,6069049,--,--,--,0,--,--,--
ChemBridge Microformat,6069297,--,--,--,0,--,--,--
ChemBridge Microformat,6069200,--,--,--,0,--,--,--
ChemBridge Microformat,5762709,--,--,--,0,--,--,--
ChemBridge Microformat,5101948,--,--,--,0,--,--,--
ChemBridge Microformat,6193872,--,--,--,0,--,--,--
ChemBridge Microformat,6133253,--,--,--,0,--,--,--
ChemBridge Microformat,6163852,--,--,--,0,--,--,--
ChemBridge Microformat,5150769,--,--,--,0,--,--,--
ChemBridge Microformat,6193812,--,--,--,0,--,--,--
ChemBridge Microformat,6163824,--,--,--,0,--,--,--
ChemBridge Microformat,6194124,--,--,--,0,--,--,--
ChemBridge Microformat,6164528,--,--,--,0,--,--,--
ChemBridge Microformat,6163594,--,--,--,0,--,--,--
ChemBridge Microformat,6163597,--,--,--,0,--,--,--
ChemBridge Microformat,6164639,--,--,--,0,--,--,--
ChemBridge Microformat,5764015,--,--,--,0,--,--,--
ChemBridge Microformat,5107437,--,--,--,0,--,--,--
ChemBridge Microformat,5107439,--,--,--,0,--,--,--
ChemBridge Microformat,5219229,--,--,--,0,--,--,--
ChemBridge Microformat,5219158,--,--,--,0,--,--,--
ChemBridge Microformat,5219155,--,--,--,0,--,--,--
ChemBridge Microformat,5107411,--,--,--,0,--,--,--
ChemBridge Microformat,5107418,--,--,--,0,--,--,--
ChemBridge Microformat,5107431,--,--,--,0,--,--,--
ChemBridge Microformat,5107475,--,--,--,0,--,--,--
ChemBridge Microformat,5107565,--,--,--,0,--,--,--
ChemBridge Microformat,5221510,--,--,--,0,--,--,--
ChemBridge Microformat,5219761,--,--,--,0,--,--,--
ChemBridge Microformat,6240750,--,--,--,0,--,--,--
ChemBridge Microformat,6240745,--,--,--,0,--,--,--
ChemBridge Microformat,6240743,--,--,--,0,--,--,--
ChemBridge Microformat,6240741,--,--,--,0,--,--,--
ChemBridge Microformat,5957508,--,--,--,0,--,--,--
ChemBridge Microformat,6240730,--,--,--,0,--,--,--
ChemBridge Microformat,6240728,--,--,--,0,--,--,--
ChemBridge Microformat,6240725,--,--,--,0,--,--,--
ChemBridge Microformat,5956909,--,--,--,0,--,--,--
ChemBridge Microformat,5956765,--,--,--,0,--,--,--
ChemBridge Microformat,5957275,--,--,--,0,--,--,--
ChemBridge Microformat,5956925,--,--,--,0,--,--,--
ChemBridge Microformat,5956216,--,--,--,0,--,--,--
ChemBridge Microformat,5862895,--,--,--,0,--,--,--
ChemBridge Microformat,6240756,--,--,--,0,--,--,--
ChemBridge Microformat,6240751,--,--,--,0,--,--,--
ChemBridge Microformat,5399292,--,--,--,0,--,--,--
ChemBridge Microformat,5862924,--,--,--,0,--,--,--
ChemBridge Microformat,6065887,--,--,--,0,--,--,--
ChemBridge Microformat,5395111,--,--,--,0,--,--,--
ChemBridge Microformat,5862206,--,--,--,0,--,--,--
ChemBridge Microformat,5128189,--,--,--,0,--,--,--
ChemBridge Microformat,5394530,--,--,--,0,--,--,--
ChemBridge Microformat,5829075,--,--,--,0,--,--,--
ChemBridge Microformat,5391533,--,--,--,0,--,--,--
ChemBridge Microformat,5862349,--,--,--,0,--,--,--
ChemBridge Microformat,5580742,--,--,--,0,--,--,--
ChemBridge Microformat,5580610,--,--,--,0,--,--,--
ChemBridge Microformat,6043079,--,--,--,0,--,--,--
ChemBridge Microformat,5402849,--,--,--,0,--,--,--
ChemBridge Microformat,6042690,--,--,--,0,--,--,--
ChemBridge Microformat,5580213,--,--,--,0,--,--,--
ChemBridge Microformat,5580140,--,--,--,0,--,--,--
ChemBridge Microformat,5580124,--,--,--,0,--,--,--
ChemBridge Microformat,5579918,--,--,--,0,--,--,--
ChemBridge Microformat,5579907,--,--,--,0,--,--,--
ChemBridge Microformat,5402050,--,--,--,0,--,--,--
ChemBridge Microformat,5336544,--,--,--,0,--,--,--
ChemBridge Microformat,5234450,--,--,--,0,--,--,--
ChemBridge Microformat,6061695,--,--,--,0,--,--,--
ChemBridge Microformat,5402850,--,--,--,0,--,--,--
ChemBridge Microformat,5336620,--,--,--,0,--,--,--
ChemBridge Microformat,6164560,--,--,--,0,--,--,--
ChemBridge Microformat,5336603,--,--,--,0,--,--,--
ChemBridge Microformat,6164585,--,--,--,1,--,--,--
ChemBridge Microformat,5332925,--,--,--,0,--,--,--
ChemBridge Microformat,6155003,--,--,--,0,--,--,--
ChemBridge Microformat,6155006,--,--,--,0,--,--,--
ChemBridge Microformat,6154893,--,--,--,0,--,--,--
ChemBridge Microformat,6154898,--,--,--,0,--,--,--
ChemBridge Microformat,6154830,--,--,--,0,--,--,--
ChemBridge Microformat,6154847,--,--,--,0,--,--,--
ChemBridge Microformat,6154965,--,--,--,0,--,--,--
ChemBridge Microformat,6154970,--,--,--,0,--,--,--
ChemBridge Microformat,6154915,--,--,--,0,--,--,--
ChemBridge Microformat,6154918,--,--,--,0,--,--,--
ChemBridge Microformat,5128534,--,--,--,0,--,--,--
ChemBridge Microformat,6134404,--,--,--,0,--,--,--
ChemBridge Microformat,6134395,--,--,--,0,--,--,--
ChemBridge Microformat,6071983,--,--,--,0,--,--,--
ChemBridge Microformat,5336466,--,--,--,0,--,--,--
ChemBridge Microformat,6191015,--,--,--,0,--,--,--
ChemBridge Microformat,6191100,--,--,--,0,--,--,--
ChemBridge Microformat,6190827,--,--,--,0,--,--,--
ChemBridge Microformat,6190839,--,--,--,0,--,--,--
ChemBridge Microformat,6191133,--,--,--,0,--,--,--
ChemBridge Microformat,6191169,--,--,--,0,--,--,--
ChemBridge Microformat,6191107,--,--,--,1,--,--,--
ChemBridge Microformat,6191125,--,--,--,0,--,--,--
ChemBridge Microformat,6191238,--,--,--,0,--,--,--
ChemBridge Microformat,6191272,--,--,--,0,--,--,--
ChemBridge Microformat,5130005,--,--,--,0,--,--,--
ChemBridge Microformat,6168100,--,--,--,0,--,--,--
ChemBridge Microformat,5787863,--,--,--,0,--,--,--
ChemBridge Microformat,5788047,--,--,--,0,--,--,--
ChemBridge Microformat,5788059,--,--,--,0,--,--,--
ChemBridge Microformat,5788254,--,--,--,0,--,--,--
ChemBridge Microformat,5788441,--,--,--,0,--,--,--
ChemBridge Microformat,5788473,--,--,--,0,--,--,--
ChemBridge Microformat,5788684,--,--,--,0,--,--,--
ChemBridge Microformat,5788759,--,--,--,0,--,--,--
ChemBridge Microformat,5788773,--,--,--,0,--,--,--
ChemBridge Microformat,5788806,--,--,--,0,--,--,--
ChemBridge Microformat,6070847,--,--,--,0,--,--,--
ChemBridge Microformat,6070836,--,--,--,0,--,--,--
ChemBridge Microformat,6126427,--,--,--,0,--,--,--
ChemBridge Microformat,5107741,--,--,--,0,--,--,--
ChemBridge Microformat,5631578,--,--,--,1,--,--,--
ChemBridge Microformat,5687771,--,--,--,0,--,--,--
ChemBridge Microformat,5687711,--,--,--,0,--,--,--
ChemBridge Microformat,5687657,--,--,--,0,--,--,--
ChemBridge Microformat,5630423,--,--,--,0,--,--,--
ChemBridge Microformat,5686670,--,--,--,0,--,--,--
ChemBridge Microformat,5630944,--,--,--,0,--,--,--
ChemBridge Microformat,5630212,--,--,--,0,--,--,--
ChemBridge Microformat,5630049,--,--,--,0,--,--,--
ChemBridge Microformat,5685575,--,--,--,0,--,--,--
ChemBridge Microformat,5630287,--,--,--,0,--,--,--
ChemBridge Microformat,5118416,--,--,--,0,--,--,--
ChemBridge Microformat,5118406,--,--,--,0,--,--,--
ChemBridge Microformat,5331342,--,--,--,0,--,--,--
ChemBridge Microformat,5332456,--,--,--,0,--,--,--
ChemBridge Microformat,5117836,--,--,--,0,--,--,--
ChemBridge Microformat,5117828,--,--,--,0,--,--,--
ChemBridge Microformat,5118203,--,--,--,0,--,--,--
ChemBridge Microformat,5118131,--,--,--,0,--,--,--
ChemBridge Microformat,5118319,--,--,--,0,--,--,--
ChemBridge Microformat,5118221,--,--,--,1,--,--,--
ChemBridge Microformat,5326637,--,--,--,0,--,--,--
ChemBridge Microformat,5326821,--,--,--,0,--,--,--
ChemBridge Microformat,6148498,--,--,--,0,--,--,--
ChemBridge Microformat,6148491,--,--,--,0,--,--,--
ChemBridge Microformat,5899724,--,--,--,0,--,--,--
ChemBridge Microformat,5899847,--,--,--,0,--,--,--
ChemBridge Microformat,6148443,--,--,--,0,--,--,--
ChemBridge Microformat,5899717,--,--,--,0,--,--,--
ChemBridge Microformat,5898190,--,--,--,0,--,--,--
ChemBridge Microformat,5898397,--,--,--,0,--,--,--
ChemBridge Microformat,5897804,--,--,--,0,--,--,--
ChemBridge Microformat,6148451,--,--,--,0,--,--,--
ChemBridge Microformat,6148450,--,--,--,0,--,--,--
ChemBridge Microformat,5897483,--,--,--,0,--,--,--
ChemBridge Microformat,5361581,--,--,--,0,--,--,--
ChemBridge Microformat,5362006,--,--,--,0,--,--,--
ChemBridge Microformat,6126649,--,--,--,0,--,--,--
ChemBridge Microformat,5359823,--,--,--,0,--,--,--
ChemBridge Microformat,5360150,--,--,--,0,--,--,--
ChemBridge Microformat,5360210,--,--,--,0,--,--,--
ChemBridge Microformat,5360462,--,--,--,0,--,--,--
ChemBridge Microformat,5360587,--,--,--,0,--,--,--
ChemBridge Microformat,5361284,--,--,--,0,--,--,--
ChemBridge Microformat,5361418,--,--,--,0,--,--,--
ChemBridge Microformat,5361426,--,--,--,0,--,--,--
ChemBridge Microformat,6126630,--,--,--,0,--,--,--
ChemBridge Microformat,6064651,--,--,--,1,--,--,--
ChemBridge Microformat,6136167,--,--,--,0,--,--,--
ChemBridge Microformat,6064561,--,--,--,0,--,--,--
ChemBridge Microformat,6136185,--,--,--,0,--,--,--
ChemBridge Microformat,6054531,--,--,--,0,--,--,--
ChemBridge Microformat,6054515,--,--,--,0,--,--,--
ChemBridge Microformat,6215872,--,--,--,0,--,--,--
ChemBridge Microformat,6064716,--,--,--,0,--,--,--
ChemBridge Microformat,6054850,--,--,--,0,--,--,--
ChemBridge Microformat,6054782,--,--,--,0,--,--,--
ChemBridge Microformat,6054684,--,--,--,0,--,--,--
ChemBridge Microformat,6064546,--,--,--,0,--,--,--
ChemBridge Microformat,6215630,--,--,--,0,--,--,--
ChemBridge Microformat,6215527,--,--,--,0,--,--,--
ChemBridge Microformat,6215478,--,--,--,0,--,--,--
ChemBridge Microformat,6054875,--,--,--,0,--,--,--
ChemBridge Microformat,6215741,--,--,--,0,--,--,--
ChemBridge Microformat,6215711,--,--,--,0,--,--,--
ChemBridge Microformat,6065113,--,--,--,0,--,--,--
ChemBridge Microformat,6215639,--,--,--,0,--,--,--
ChemBridge Microformat,6011857,--,--,--,0,--,--,--
ChemBridge Microformat,6011944,--,--,--,0,--,--,--
ChemBridge Microformat,6011951,--,--,--,0,--,--,--
ChemBridge Microformat,6012017,--,--,--,0,--,--,--
ChemBridge Microformat,6011791,--,--,--,0,--,--,--
ChemBridge Microformat,6011798,--,--,--,0,--,--,--
ChemBridge Microformat,6011802,--,--,--,0,--,--,--
ChemBridge Microformat,6011849,--,--,--,0,--,--,--
ChemBridge Microformat,6012019,--,--,--,0,--,--,--
ChemBridge Microformat,6012205,--,--,--,0,--,--,--
ChemBridge Microformat,5107443,--,--,--,0,--,--,--
ChemBridge Microformat,5633262,--,--,--,0,--,--,--
ChemBridge Microformat,5744018,--,--,--,0,--,--,--
ChemBridge Microformat,5932681,--,--,--,0,--,--,--
ChemBridge Microformat,5932708,--,--,--,0,--,--,--
ChemBridge Microformat,5932499,--,--,--,0,--,--,--
ChemBridge Microformat,5932524,--,--,--,0,--,--,--
ChemBridge Microformat,5932564,--,--,--,0,--,--,--
ChemBridge Microformat,5932619,--,--,--,0,--,--,--
ChemBridge Microformat,5931923,--,--,--,0,--,--,--
ChemBridge Microformat,5932157,--,--,--,0,--,--,--
ChemBridge Microformat,5932395,--,--,--,0,--,--,--
ChemBridge Microformat,5932491,--,--,--,0,--,--,--
ChemBridge Microformat,5603439,--,--,--,0,--,--,--
ChemBridge Microformat,6136078,--,--,--,0,--,--,--
ChemBridge Microformat,6050076,--,--,--,1,--,--,--
ChemBridge Microformat,6050105,--,--,--,0,--,--,--
ChemBridge Microformat,5603456,--,--,--,0,--,--,--
ChemBridge Microformat,5603208,--,--,--,0,--,--,--
ChemBridge Microformat,6049869,--,--,--,0,--,--,--
ChemBridge Microformat,5603301,--,--,--,0,--,--,--
ChemBridge Microformat,6049937,--,--,--,0,--,--,--
ChemBridge Microformat,5344551,--,--,--,0,--,--,--
ChemBridge Microformat,5344661,--,--,--,0,--,--,--
ChemBridge Microformat,5344280,--,--,--,0,--,--,--
ChemBridge Microformat,5603636,--,--,--,0,--,--,--
ChemBridge Microformat,5344359,--,--,--,0,--,--,--
ChemBridge Microformat,5603572,--,--,--,0,--,--,--
ChemBridge Microformat,5128006,--,--,--,0,--,--,--
ChemBridge Microformat,5743164,--,--,--,0,--,--,--
ChemBridge Microformat,5119556,--,--,--,0,--,--,--
ChemBridge Microformat,5344947,--,--,--,0,--,--,--
ChemBridge Microformat,5345036,--,--,--,0,--,--,--
ChemBridge Microformat,5125836,--,--,--,0,--,--,--
ChemBridge Microformat,5125563,--,--,--,0,--,--,--
ChemBridge Microformat,5125943,--,--,--,0,--,--,--
ChemBridge Microformat,5125873,--,--,--,0,--,--,--
ChemBridge Microformat,6166606,--,--,--,0,--,--,--
ChemBridge Microformat,6166471,--,--,--,0,--,--,--
ChemBridge Microformat,6166468,--,--,--,0,--,--,--
ChemBridge Microformat,6166445,--,--,--,0,--,--,--
ChemBridge Microformat,6167032,--,--,--,0,--,--,--
ChemBridge Microformat,6166810,--,--,--,0,--,--,--
ChemBridge Microformat,6166758,--,--,--,0,--,--,--
ChemBridge Microformat,6166672,--,--,--,0,--,--,--
ChemBridge Microformat,6167137,--,--,--,0,--,--,--
ChemBridge Microformat,6167070,--,--,--,0,--,--,--
ChemBridge Microformat,5904920,--,--,--,0,--,--,--
ChemBridge Microformat,5743398,--,--,--,0,--,--,--
ChemBridge Microformat,6148868,--,--,--,0,--,--,--
ChemBridge Microformat,6136040,--,--,--,0,--,--,--
ChemBridge Microformat,6148880,--,--,--,0,--,--,--
ChemBridge Microformat,6148941,--,--,--,0,--,--,--
ChemBridge Microformat,6148934,--,--,--,0,--,--,--
ChemBridge Microformat,5740101,--,--,--,0,--,--,--
ChemBridge Microformat,6114202,--,--,--,0,--,--,--
ChemBridge Microformat,6114183,--,--,--,0,--,--,--
ChemBridge Microformat,5740080,--,--,--,0,--,--,--
ChemBridge Microformat,6113773,--,--,--,0,--,--,--
ChemBridge Microformat,6113562,--,--,--,0,--,--,--
ChemBridge Microformat,6113928,--,--,--,0,--,--,--
ChemBridge Microformat,6113838,--,--,--,0,--,--,--
ChemBridge Microformat,6113357,--,--,--,0,--,--,--
ChemBridge Microformat,6113278,--,--,--,0,--,--,--
ChemBridge Microformat,6113401,--,--,--,0,--,--,--
ChemBridge Microformat,6113373,--,--,--,0,--,--,--
ChemBridge Microformat,6078428,--,--,--,0,--,--,--
ChemBridge Microformat,6179088,--,--,--,0,--,--,--
ChemBridge Microformat,6179083,--,--,--,0,--,--,--
ChemBridge Microformat,6179027,--,--,--,0,--,--,--
ChemBridge Microformat,6178819,--,--,--,0,--,--,--
ChemBridge Microformat,6178738,--,--,--,0,--,--,--
ChemBridge Microformat,6178648,--,--,--,0,--,--,--
ChemBridge Microformat,6178568,--,--,--,0,--,--,--
ChemBridge Microformat,6178564,--,--,--,0,--,--,--
ChemBridge Microformat,6178420,--,--,--,0,--,--,--
ChemBridge Microformat,6178369,--,--,--,0,--,--,--
ChemBridge Microformat,5740481,--,--,--,0,--,--,--
ChemBridge Microformat,6078549,--,--,--,0,--,--,--
ChemBridge Microformat,5531100,--,--,--,0,--,--,--
ChemBridge Microformat,6201245,--,--,--,0,--,--,--
ChemBridge Microformat,6232890,--,--,--,0,--,--,--
ChemBridge Microformat,6201294,--,--,--,0,--,--,--
ChemBridge Microformat,6006404,--,--,--,0,--,--,--
ChemBridge Microformat,5530820,--,--,--,0,--,--,--
ChemBridge Microformat,6006381,--,--,--,0,--,--,--
ChemBridge Microformat,6006288,--,--,--,0,--,--,--
ChemBridge Microformat,6029138,--,--,--,0,--,--,--
ChemBridge Microformat,5939450,--,--,--,0,--,--,--
ChemBridge Microformat,6006132,--,--,--,0,--,--,--
ChemBridge Microformat,6072144,--,--,--,0,--,--,--
ChemBridge Microformat,5939079,--,--,--,0,--,--,--
ChemBridge Microformat,5816830,--,--,--,0,--,--,--
ChemBridge Microformat,5816458,--,--,--,0,--,--,--
ChemBridge Microformat,5818604,--,--,--,0,--,--,--
ChemBridge Microformat,5818247,--,--,--,0,--,--,--
ChemBridge Microformat,5816003,--,--,--,0,--,--,--
ChemBridge Microformat,5815998,--,--,--,0,--,--,--
ChemBridge Microformat,5865683,--,--,--,0,--,--,--
ChemBridge Microformat,5865514,--,--,--,0,--,--,--
ChemBridge Microformat,6137499,--,--,--,0,--,--,--
ChemBridge Microformat,6046368,--,--,--,0,--,--,--
ChemBridge Microformat,5818790,--,--,--,0,--,--,--
ChemBridge Microformat,5818788,--,--,--,0,--,--,--
ChemBridge Microformat,5731312,--,--,--,0,--,--,--
ChemBridge Microformat,5740628,--,--,--,0,--,--,--
ChemBridge Microformat,5731340,--,--,--,0,--,--,--
ChemBridge Microformat,5740747,--,--,--,0,--,--,--
ChemBridge Microformat,5731014,--,--,--,0,--,--,--
ChemBridge Microformat,5740840,--,--,--,1,--,--,--
ChemBridge Microformat,5741058,--,--,--,0,--,--,--
ChemBridge Microformat,6076637,--,--,--,0,--,--,--
ChemBridge Microformat,5741088,--,--,--,0,--,--,--
ChemBridge Microformat,5741089,--,--,--,0,--,--,--
ChemBridge Microformat,6076597,--,--,--,0,--,--,--
ChemBridge Microformat,6076594,--,--,--,0,--,--,--
ChemBridge Microformat,5731499,--,--,--,0,--,--,--
ChemBridge Microformat,5731504,--,--,--,0,--,--,--
ChemBridge Microformat,6076481,--,--,--,0,--,--,--
ChemBridge Microformat,6076470,--,--,--,0,--,--,--
ChemBridge Microformat,6228404,--,--,--,0,--,--,--
ChemBridge Microformat,6228481,--,--,--,0,--,--,--
ChemBridge Microformat,6228544,--,--,--,0,--,--,--
ChemBridge Microformat,5992381,--,--,--,0,--,--,--
ChemBridge Microformat,6228779,--,--,--,0,--,--,--
ChemBridge Microformat,6228796,--,--,--,0,--,--,--
ChemBridge Microformat,6229048,--,--,--,0,--,--,--
ChemBridge Microformat,6229098,--,--,--,1,--,--,--
ChemBridge Microformat,6229202,--,--,--,0,--,--,--
ChemBridge Microformat,6229231,--,--,--,0,--,--,--
ChemBridge Microformat,6132500,--,--,--,0,--,--,--
ChemBridge Microformat,5992207,--,--,--,0,--,--,--
ChemBridge Microformat,5536068,--,--,--,0,--,--,--
ChemBridge Microformat,5536066,--,--,--,0,--,--,--
ChemBridge Microformat,5535963,--,--,--,0,--,--,--
ChemBridge Microformat,5535936,--,--,--,0,--,--,--
ChemBridge Microformat,5535982,--,--,--,0,--,--,--
ChemBridge Microformat,5535976,--,--,--,0,--,--,--
ChemBridge Microformat,5535570,--,--,--,0,--,--,--
ChemBridge Microformat,5535396,--,--,--,0,--,--,--
ChemBridge Microformat,5535889,--,--,--,0,--,--,--
ChemBridge Microformat,5535670,--,--,--,0,--,--,--
ChemBridge Microformat,6129560,--,--,--,0,--,--,--
ChemBridge Microformat,6129564,--,--,--,0,--,--,--
ChemBridge Microformat,6129460,--,--,--,0,--,--,--
ChemBridge Microformat,6129509,--,--,--,0,--,--,--
ChemBridge Microformat,6129331,--,--,--,0,--,--,--
ChemBridge Microformat,6129351,--,--,--,0,--,--,--
ChemBridge Microformat,6129275,--,--,--,0,--,--,--
ChemBridge Microformat,6129304,--,--,--,0,--,--,--
ChemBridge Microformat,6129249,--,--,--,0,--,--,--
ChemBridge Microformat,6129274,--,--,--,0,--,--,--
ChemBridge Microformat,6103735,--,--,--,0,--,--,--
ChemBridge Microformat,6103696,--,--,--,0,--,--,--
ChemBridge Microformat,6071085,--,--,--,0,--,--,--
ChemBridge Microformat,6071035,--,--,--,0,--,--,--
ChemBridge Microformat,5784587,--,--,--,0,--,--,--
ChemBridge Microformat,6070873,--,--,--,0,--,--,--
ChemBridge Microformat,6070868,--,--,--,0,--,--,--
ChemBridge Microformat,6103458,--,--,--,0,--,--,--
ChemBridge Microformat,6103437,--,--,--,0,--,--,--
ChemBridge Microformat,6103531,--,--,--,0,--,--,--
ChemBridge Microformat,6126104,--,--,--,0,--,--,--
ChemBridge Microformat,6103648,--,--,--,0,--,--,--
ChemBridge Microformat,6070885,--,--,--,0,--,--,--
ChemBridge Microformat,6126133,--,--,--,0,--,--,--
ChemBridge Microformat,6137468,--,--,--,0,--,--,--
ChemBridge Microformat,6132434,--,--,--,0,--,--,--
ChemBridge Microformat,5784997,--,--,--,0,--,--,--
ChemBridge Microformat,5992599,--,--,--,0,--,--,--
ChemBridge Microformat,5784942,--,--,--,0,--,--,--
ChemBridge Microformat,5784762,--,--,--,1,--,--,--
ChemBridge Microformat,5784756,--,--,--,0,--,--,--
ChemBridge Microformat,6082132,--,--,--,0,--,--,--
ChemBridge Microformat,6239869,--,--,--,0,--,--,--
ChemBridge Microformat,6239868,--,--,--,0,--,--,--
ChemBridge Microformat,6239865,--,--,--,0,--,--,--
ChemBridge Microformat,6239854,--,--,--,0,--,--,--
ChemBridge Microformat,6239849,--,--,--,0,--,--,--
ChemBridge Microformat,6239830,--,--,--,0,--,--,--
ChemBridge Microformat,6239822,--,--,--,0,--,--,--
ChemBridge Microformat,6239821,--,--,--,0,--,--,--
ChemBridge Microformat,6239872,--,--,--,0,--,--,--
ChemBridge Microformat,6239870,--,--,--,0,--,--,--
ChemBridge Microformat,6100746,--,--,--,0,--,--,--
ChemBridge Microformat,6070000,--,--,--,0,--,--,--
ChemBridge Microformat,6100627,--,--,--,0,--,--,--
ChemBridge Microformat,6070144,--,--,--,0,--,--,--
ChemBridge Microformat,5626767,--,--,--,1,--,--,--
ChemBridge Microformat,6069904,--,--,--,0,--,--,--
