Library,Compound,161,217,235,238,242,243,244
ChemBridge Microformat,6162175,--,--,--,0,--,--,--
ChemBridge Microformat,6198261,--,--,--,0,--,--,--
ChemBridge Microformat,6198184,--,--,--,0,--,--,--
ChemBridge Microformat,6197814,--,--,--,0,--,--,--
ChemBridge Microformat,6197797,--,--,--,0,--,--,--
ChemBridge Microformat,6197786,--,--,--,0,--,--,--
ChemBridge Microformat,6197770,--,--,--,0,--,--,--
ChemBridge Microformat,6198152,--,--,--,0,--,--,--
ChemBridge Microformat,6198036,--,--,--,0,--,--,--
ChemBridge Microformat,6198031,--,--,--,0,--,--,--
ChemBridge Microformat,6198006,--,--,--,0,--,--,--
ChemBridge Microformat,6127130,--,--,--,0,--,--,--
ChemBridge Microformat,6127136,--,--,--,0,--,--,--
ChemBridge Microformat,6127112,--,--,--,0,--,--,--
ChemBridge Microformat,6127123,--,--,--,0,--,--,--
ChemBridge Microformat,6126934,--,--,--,0,--,--,--
ChemBridge Microformat,6126944,--,--,--,0,--,--,--
ChemBridge Microformat,6126857,--,--,--,0,--,--,--
ChemBridge Microformat,6126896,--,--,--,0,--,--,--
ChemBridge Microformat,6127152,--,--,--,0,--,--,--
ChemBridge Microformat,6127174,--,--,--,0,--,--,--
ChemBridge Microformat,6142588,--,--,--,0,--,--,--
ChemBridge Microformat,5765918,--,--,--,0,--,--,--
ChemBridge Microformat,5764531,--,--,--,0,--,--,--
ChemBridge Microformat,5764390,--,--,--,0,--,--,--
ChemBridge Microformat,5765191,--,--,--,0,--,--,--
ChemBridge Microformat,6142506,--,--,--,0,--,--,--
ChemBridge Microformat,5765600,--,--,--,0,--,--,--
ChemBridge Microformat,5765436,--,--,--,0,--,--,--
ChemBridge Microformat,5765839,--,--,--,0,--,--,--
ChemBridge Microformat,6142561,--,--,--,0,--,--,--
ChemBridge Microformat,5826431,--,--,--,0,--,--,--
ChemBridge Microformat,6143550,--,--,--,0,--,--,--
ChemBridge Microformat,6143553,--,--,--,0,--,--,--
ChemBridge Microformat,6143432,--,--,--,0,--,--,--
ChemBridge Microformat,6143508,--,--,--,0,--,--,--
ChemBridge Microformat,6143627,--,--,--,0,--,--,--
ChemBridge Microformat,6143632,--,--,--,0,--,--,--
ChemBridge Microformat,6143558,--,--,--,0,--,--,--
ChemBridge Microformat,6143594,--,--,--,0,--,--,--
ChemBridge Microformat,6143639,--,--,--,0,--,--,--
ChemBridge Microformat,6143683,--,--,--,0,--,--,--
ChemBridge Microformat,6209054,--,--,--,0,--,--,--
ChemBridge Microformat,6065404,--,--,--,0,--,--,--
ChemBridge Microformat,6065416,--,--,--,0,--,--,--
ChemBridge Microformat,6065156,--,--,--,0,--,--,--
ChemBridge Microformat,6065193,--,--,--,0,--,--,--
ChemBridge Microformat,6065134,--,--,--,0,--,--,--
ChemBridge Microformat,6065149,--,--,--,0,--,--,--
ChemBridge Microformat,6065318,--,--,--,0,--,--,--
ChemBridge Microformat,6065357,--,--,--,0,--,--,--
ChemBridge Microformat,6065206,--,--,--,0,--,--,--
ChemBridge Microformat,6065305,--,--,--,0,--,--,--
ChemBridge Microformat,5671191,--,--,--,0,--,--,--
ChemBridge Microformat,5617780,--,--,--,0,--,--,--
ChemBridge Microformat,5671216,--,--,--,0,--,--,--
ChemBridge Microformat,6075501,--,--,--,0,--,--,--
ChemBridge Microformat,6073122,--,--,--,0,--,--,--
ChemBridge Microformat,6073118,--,--,--,0,--,--,--
ChemBridge Microformat,6073022,--,--,--,0,--,--,--
ChemBridge Microformat,5654787,--,--,--,0,--,--,--
ChemBridge Microformat,6073166,--,--,--,0,--,--,--
ChemBridge Microformat,5654476,--,--,--,0,--,--,--
ChemBridge Microformat,5654017,--,--,--,0,--,--,--
ChemBridge Microformat,6073130,--,--,--,0,--,--,--
ChemBridge Microformat,5670888,--,--,--,0,--,--,--
ChemBridge Microformat,6073344,--,--,--,0,--,--,--
ChemBridge Microformat,6073254,--,--,--,0,--,--,--
ChemBridge Microformat,5655037,--,--,--,0,--,--,--
ChemBridge Microformat,5655233,--,--,--,0,--,--,--
ChemBridge Microformat,6023444,--,--,--,1,--,--,--
ChemBridge Microformat,5139185,--,--,--,0,--,--,--
ChemBridge Microformat,5139190,--,--,--,0,--,--,--
ChemBridge Microformat,6023433,--,--,--,0,--,--,--
ChemBridge Microformat,6023676,--,--,--,0,--,--,--
ChemBridge Microformat,6075688,--,--,--,0,--,--,--
ChemBridge Microformat,5139231,--,--,--,0,--,--,--
ChemBridge Microformat,6023611,--,--,--,0,--,--,--
ChemBridge Microformat,5139257,--,--,--,0,--,--,--
ChemBridge Microformat,5139258,--,--,--,0,--,--,--
ChemBridge Microformat,6023736,--,--,--,0,--,--,--
ChemBridge Microformat,5670710,--,--,--,0,--,--,--
ChemBridge Microformat,5558393,--,--,--,0,--,--,--
ChemBridge Microformat,5305635,--,--,--,0,--,--,--
ChemBridge Microformat,5306061,--,--,--,0,--,--,--
ChemBridge Microformat,6240531,--,--,--,0,--,--,--
ChemBridge Microformat,6240526,--,--,--,0,--,--,--
ChemBridge Microformat,6240535,--,--,--,0,--,--,--
ChemBridge Microformat,6240532,--,--,--,0,--,--,--
ChemBridge Microformat,6240506,--,--,--,0,--,--,--
ChemBridge Microformat,6240498,--,--,--,0,--,--,--
ChemBridge Microformat,6240520,--,--,--,0,--,--,--
ChemBridge Microformat,6240519,--,--,--,0,--,--,--
ChemBridge Microformat,5557264,--,--,--,0,--,--,--
ChemBridge Microformat,6240544,--,--,--,0,--,--,--
ChemBridge Microformat,6240540,--,--,--,1,--,--,--
ChemBridge Microformat,5305383,--,--,--,0,--,--,--
ChemBridge Microformat,5622028,--,--,--,0,--,--,--
ChemBridge Microformat,5622595,--,--,--,0,--,--,--
ChemBridge Microformat,5621739,--,--,--,0,--,--,--
ChemBridge Microformat,5621922,--,--,--,0,--,--,--
ChemBridge Microformat,5624988,--,--,--,0,--,--,--
ChemBridge Microformat,6096796,--,--,--,0,--,--,--
ChemBridge Microformat,5623296,--,--,--,0,--,--,--
ChemBridge Microformat,5624392,--,--,--,0,--,--,--
ChemBridge Microformat,6096336,--,--,--,0,--,--,--
ChemBridge Microformat,6096141,--,--,--,0,--,--,--
ChemBridge Microformat,5625251,--,--,--,0,--,--,--
ChemBridge Microformat,5625598,--,--,--,0,--,--,--
ChemBridge Microformat,6095403,--,--,--,0,--,--,--
ChemBridge Microformat,6095380,--,--,--,0,--,--,--
ChemBridge Microformat,6095988,--,--,--,0,--,--,--
ChemBridge Microformat,6095771,--,--,--,0,--,--,--
ChemBridge Microformat,5350019,--,--,--,0,--,--,--
ChemBridge Microformat,5349986,--,--,--,0,--,--,--
ChemBridge Microformat,5350255,--,--,--,0,--,--,--
ChemBridge Microformat,5350199,--,--,--,0,--,--,--
ChemBridge Microformat,5350573,--,--,--,0,--,--,--
