JBS lab ID	T1 ID	T2 ID	HY T2 plant ID	Gene-ration	Batch ID	T-DNA insertion		Date harvested	Location stored	Date sown	Notes	
						Homo/Hetero	No. of insertions					
09	01	05		T3	1			04/29/06			
09	01	06		T3	1			04/29/06			
09	01	07		T3	1			04/29/06			
09	01	08		T3	1			04/29/06			
09	01	09		T3	1			04/29/06			
09	01	10		T3	1			04/29/06			
09	01	11		T3	1			04/29/06			
09	01	12		T3	1			04/29/06			
09	01	13		T3	1			04/29/06			
09	01	14		T3	1			04/29/06			
09	01	15		T3	1			04/29/06			
09	01	16		T3	1			04/29/06			
09	01	17		T3	1			04/29/06			
09	01	18		T3	1			04/29/06			
09	01	19		T3	1			04/29/06			
09	01	20		T3	1			04/29/06			
09	01	21		T3	1			04/29/06			
09	01	22		T3	1			04/29/06			
09	01	23		T3	1			04/29/06			
09	01	24		T3	1			04/29/06			
09	01	25		T3	1			04/29/06			
09	01	26		T3	1			04/29/06			
09	01	27		T3	1			04/29/06			
09	01	28		T3	1			04/29/06			
09	01	29		T3	1			04/29/06			
09	03	01	9-3-1	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	02	9-3-2	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	03	9-3-3	T3	1	Homo		05/11/06	"Box1, RT"		
09	03	04	9-3-4	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	05	9-3-5	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	06	9-3-6	T3	1	 		05/11/06	"Box1, RT"		
09	03	07	9-3-7	T3	1	Homo		05/11/06	"Box1, RT"		
09	03	08	9-3-8	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	09	9-3-9	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	10	9-3-10	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	11	9-3-11	T3	1	Homo		05/11/06	"Box1, RT"		
09	03	12	9-3-12	T3	1	Hetero		05/11/06	"Box1, RT"		
09	03	13		T3	1			05/11/06	"Box1, RT"		
09	03	14		T3	1			05/11/06	"Box1, RT"		
09	03	15		T3	1			05/11/06	"Box1, RT"		
09	03	16		T3	1			05/11/06	"Box1, RT"		
09	03	17		T3	1			05/11/06	"Box1, RT"		
09	03	18		T3	1			05/11/06	"Box1, RT"		
09	03	19		T3	1			05/11/06	"Box1, RT"		
09	03	20		T3	1			05/11/06	"Box1, RT"		
09	03	21		T3	1			05/11/06	"Box1, RT"		
09	03	22		T3	1			05/11/06	"Box1, RT"		
09	03	23		T3	1			05/11/06	"Box1, RT"		
09	03	24		T3	1			05/11/06	"Box1, RT"		
09	03	25		T3	1			05/11/06	"Box1, RT"		
09	03	26		T3	1			05/11/06	"Box1, RT"		
09	03	27		T3	1			05/11/06	"Box1, RT"		
09	03	28		T3	1			05/11/06	"Box1, RT"		
09	03	29		T3	1			05/11/06	"Box1, RT"		
09	03	30		T3	1			05/11/06	"Box1, RT"		
09	03	31		T3	1			05/11/06	"Box1, RT"		
09	03	32		T3	1			05/11/06	"Box1, RT"		
09	03	33		T3	1			05/11/06	"Box1, RT"		
09	03	34		T3	1			05/11/06	"Box1, RT"		
09	03	35		T3	1			05/11/06	"Box1, RT"		
09	04	01		T3	1			04/24/06	"Box1, RT"		
09	04	02	9-4-2	T3	1	Homo		04/24/06	"Box1, RT"	Apr 06	
09	04	05	9-4-5	T3	1	Homo		04/24/06	"Box1, RT"	Apr 06	
09	04	06	9-4-6	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	07	9-4-7	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	08	9-4-8	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	09	9-4-9	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	10	9-4-10	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	12	9-4-12	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	13	9-4-13	T3	1	Homo		04/24/06	"Box1, RT"	Apr 06	
09	04	14	9-4-14	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	15	9-4-15	T3	1	Hetero		04/24/06	"Box1, RT"	Apr 06	
09	04	16		T3	1			04/24/06	"Box1, RT"		
09	04	17		T3	1			04/24/06	"Box1, RT"		
09	04	18		T3	1			04/24/06	"Box1, RT"		
09	04	19		T3	1			04/24/06	"Box1, RT"		
09	04	20		T3	1			04/24/06	"Box1, RT"		
09	04	21		T3	1			04/24/06	"Box1, RT"		
09	04	22		T3	1			04/24/06	"Box1, RT"		
09	04	23		T3	1			04/24/06	"Box1, RT"		
09	04	24		T3	1			04/24/06	"Box1, RT"		
09	04	25		T3	1			04/24/06	"Box1, RT"		
09	04	26		T3	1			04/24/06	"Box1, RT"		
09	04	27		T3	1			04/24/06	"Box1, RT"		
09	04	28		T3	1			04/24/06	"Box1, RT"		
09	04	29		T3	1			04/24/06	"Box1, RT"		
09	04	30		T3	1			04/24/06	"Box1, RT"		
09	04	31		T3	1			04/24/06	"Box1, RT"		
09	04	32		T3	1			04/24/06	"Box1, RT"		
09	04	33		T3	1			04/24/06	"Box1, RT"		
09	04	34		T3	1			04/24/06	"Box1, RT"		
09	04	35		T3	1			04/24/06	"Box1, RT"		
09	04	36		T3	1			04/24/06	"Box1, RT"		
16	35	01		T3	1			08/29/06			
16	35	02		T3	1			08/29/06			
16	35	03		T3	1			08/29/06			
16	35	04		T3	1			08/29/06			
16	35	05		T3	1			08/29/06			
16	35	06		T3	1			08/29/06			
16	35	07		T3	1			08/29/06			
16	35	08		T3	1			08/29/06			
16	35	09		T3	1			08/29/06			
16	35	10		T3	1			08/29/06			
16	35	11		T3	1			08/29/06			
16	35	12		T3	1			08/29/06			
16	35	13		T3	1			08/29/06			
16	35	14		T3	1			08/29/06			
16	35	15		T3	1			08/29/06			
16	35	16		T3	1			08/29/06			
16	35	17		T3	1			08/29/06			
16	35	18		T3	1			08/29/06			
16	35	19		T3	1			08/29/06			
16	35	20		T3	1			08/29/06			
16	35	21		T3	1			08/29/06			
16	35	22		T3	1			08/29/06			
16	35	23		T3	1			08/29/06			
16	35	24		T3	1			08/29/06			
16	35	25		T3	1			08/29/06			
16	35	26		T3	1			08/29/06			
16	35	27		T3	1			08/29/06			
16	35	28		T3	1			08/29/06			
16	35	29		T3	1			08/29/06			
16	35	30		T3	1			08/29/06			
16	35	31		T3	1			08/29/06			
16	35	32		T3	1			08/29/06			
16	39	01		T3	1			08/28/06	on Desk		
16	39	02		T3	1			08/28/06	on Desk		
16	39	03		T3	1			08/28/06	on Desk		
16	39	04		T3	1			08/28/06	on Desk		
16	39	05		T3	1			08/28/06	on Desk		
16	39	06		T3	1			08/28/06	on Desk		
16	39	07		T3	1			08/28/06	on Desk		
16	39	08		T3	1			08/28/06	on Desk		
16	39	09		T3	1			08/28/06	on Desk		
16	39	10		T3	1			08/28/06	on Desk		
16	39	11		T3	1			08/28/06	on Desk		
16	39	12		T3	1			08/28/06	on Desk		
16	39	13		T3	1			08/28/06	on Desk		
16	39	14		T3	1			08/28/06	on Desk		
16	39	15		T3	1			08/28/06	on Desk		
16	39	16		T3	1			08/28/06	on Desk		
16	39	17		T3	1			08/28/06	on Desk		
16	39	18		T3	1			08/28/06	on Desk		
16	39	19		T3	1			08/28/06	on Desk		
16	39	20		T3	1			08/28/06	on Desk		
16	39	20		T3	2			08/28/06	on Desk		
16	39	21		T3	1			08/28/06	on Desk		
16	39	22		T3	1			08/28/06	on Desk		
16	39	23		T3	1			08/28/06	on Desk		
16	39	24		T3	1			08/28/06	on Desk		
16	39	25		T3	1			08/28/06	on Desk		
16	39	26		T3	1			08/28/06	on Desk		
16	39	27		T3	1			08/28/06	on Desk		
17	10	01	17-10-1	T3	1			04/30/06	"Box1, RT"		
17	10	02		T3	1			04/30/06	"Box1, RT"		
17	10	03		T3	1			04/30/06	"Box1, RT"		
17	10	04		T3	1			04/30/06	"Box1, RT"		
17	10	05		T3	1			04/30/06	"Box1, RT"		
17	10	06		T3	1			04/30/06	"Box1, RT"		
17	10	07		T3	1			04/30/06	"Box1, RT"		
17	10	08		T3	1			04/30/06	"Box1, RT"		
17	10	09		T3	1			04/30/06	"Box1, RT"		
17	10	10		T3	1			04/30/06	"Box1, RT"		
17	10	11		T3	1			04/30/06	"Box1, RT"		
17	10	12		T3	1			04/30/06	"Box1, RT"		
17	10	13		T3	1			04/30/06	"Box1, RT"		
17	10	14		T3	1			04/30/06	"Box1, RT"		
17	10	15		T3	1			04/30/06	"Box1, RT"		
17	10	16		T3	1			04/30/06	"Box1, RT"		
17	10	17		T3	1			04/30/06	"Box1, RT"		
17	10	18		T3	1			04/30/06	"Box1, RT"		
17	10	19		T3	1			04/30/06	"Box1, RT"		
17	10	20		T3	1			04/30/06	"Box1, RT"		
17	10	21		T3	1			04/30/06	"Box1, RT"		
17	10	22		T3	1			04/30/06	"Box1, RT"		
17	10	23		T3	1			04/30/06	"Box1, RT"		
17	10	24		T3	1			04/30/06	"Box1, RT"		
17	10	25		T3	1			04/30/06	"Box1, RT"		
17	10	26		T3	1			04/30/06	"Box1, RT"		
17	10	27		T3	1			04/30/06	"Box1, RT"		
17	10	28		T3	1			04/30/06	"Box1, RT"		
17	10	29		T3	1			04/30/06	"Box1, RT"		
17	13	01	17-13-1	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	02	17-13-2	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	03	17-13-3	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	04	17-13-4	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	05	17-13-5	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	06	17-13-6	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	07	17-13-7	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	08	17-13-8	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	09	17-13-9	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	10	17-13-10	T3	1	Homo		05/11/06	"Box1, RT"	May 06?	
17	13	11	17-13-11	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	12	17-13-12	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	13	17-13-13	T3	1	Homo		05/11/06	"Box1, RT"	May 06?	
17	13	14	17-13-14	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	15	17-13-15	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	16	17-13-16	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	17	17-13-17	T3	1	Homo		05/11/06	"Box1, RT"	May 06?	
17	13	18	17-13-18	T3	1	Homo		05/11/06	"Box1, RT"	May 06?	
17	13	19	17-13-19	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	20	17-13-20	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	21	17-13-21	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	22	17-13-22	T3	1	Hetero		05/11/06	"Box1, RT"	May 06?	
17	13	23	17-13-23	T3	1	Homo		05/11/06	"Box1, RT"	May 06?	
17	13	24	17-13-24	T3	1	Homo		05/11/06	"Box1, RT"	May 06?	
17	13	25		T3	1			05/11/06	"Box1, RT"		
17	13	26		T3	1			05/11/06	"Box1, RT"		
17	13	27		T3	1			05/11/06	"Box1, RT"		
17	13	28		T3	1			05/11/06	"Box1, RT"		
17	13	29		T3	1			05/11/06	"Box1, RT"		
17	13	30		T3	1			05/11/06	"Box1, RT"		
17	17	01	17-17-1	T3	1	Homo		04/28/06	"Box1, RT"	May 06	
17	17	02	17-17-2	T3	1	Homo		04/28/06	"Box1, RT"	May 06	
17	17	03	17-17-3	T3	1	Homo		04/28/06	"Box1, RT"	May 06	
17	17	04	17-17-4	T3	1	Hetero		04/28/06	"Box1, RT"	May 06	
17	17	05	17-17-5	T3	1	Hetero		04/28/06	"Box1, RT"	May 06	
17	17	06	17-17-6	T3	1	Hetero		04/28/06	"Box1, RT"	May 06	
17	17	07	17-17-7	T3	1	Homo		04/28/06	"Box1, RT"	May 06	
17	17	08	17-17-8	T3	1	Hetero		04/28/06	"Box1, RT"	May 06	
17	17	09	17-17-9	T3	1	Homo		04/28/06	"Box1, RT"	May 06	
17	17	10	17-17-10	T3	1	Hetero		04/28/06	"Box1, RT"	May 06	
17	17	11	17-17-11	T3	1	Hetero		04/28/06	"Box1, RT"	May 06	
17	17	12	17-17-12	T3	1	Homo		04/28/06	"Box1, RT"	May 06	
17	17	26		T3	1			04/28/06	"Box1, RT"		
17	17	27		T3	1			04/28/06	"Box1, RT"		
17	17	28		T3	1			04/28/06	"Box1, RT"		
17	17	33		T3	1			04/28/06	"Box1, RT"		
17	17	36		T3	1			04/28/06	"Box1, RT"		
18	04	01	18-4-1	T3	1	Hetero		05/25/06		Aug 06	
18	04	02		T3	1	Hetero		05/25/06		Aug 06	
18	04	03		T3	1	Hetero		05/25/06		Aug 06	
18	04	04		T3	1	Hetero		05/25/06		Aug 06	
18	04	05		T3	1	Hetero		05/25/06		Aug 06	
18	04	06		T3	1	Hetero		05/25/06		Aug 06	
18	04	07		T3	1	Hetero		05/25/06		Aug 06	
18	04	08		T3	1	Hetero		05/25/06		Aug 06	
18	04	09		T3	1	Hetero		05/25/06		Aug 06	
18	04	10		T3	1	Hetero		05/25/06		Aug 06	
18	04	11		T3	1			05/25/06			
18	04	12		T3	1			05/25/06			
18	04	13		T3	1			05/25/06			
18	04	14		T3	1			05/25/06			
18	04	15		T3	1			05/25/06			
18	04	16		T3	1			05/25/06			
18	04	17		T3	1			05/25/06			
18	04	18		T3	1			05/25/06			
18	04	19		T3	1			05/25/06			
18	04	20		T3	1			05/25/06			
18	06	01	18-6-1	T3	1	Hetero		05/18/06		Aug 06	
18	06	02		T3	1	Hetero		05/18/06		Aug 06	
18	06	03		T3	1	Homo		05/18/06		Aug 06	
18	06	04		T3	1	Homo		05/18/06		Aug 06	
18	06	05		T3	1	Hetero		05/18/06		Aug 06	
18	06	06		T3	1	Hetero		05/18/06		Aug 06	
18	06	07		T3	1	Hetero		05/18/06		Aug 06	
18	06	08		T3	1	Hetero		05/18/06		Aug 06	
18	06	09		T3	1	Homo		05/18/06		Aug 06	
18	06	10		T3	1	Hetero		05/18/06		Aug 06	
18	06	11		T3	1			05/18/06			
18	06	12		T3	1			05/18/06			
18	06	13		T3	1			05/18/06			
18	06	14		T3	1			05/18/06			
18	06	16		T3	1			05/18/06			
18	06	17		T3	1			05/18/06			
18	06	18		T3	1			05/18/06			
18	06	19		T3	1			05/18/06			
18	06	20		T3	1			05/18/06			
18	06	22		T3	1			05/18/06			
18	06	23		T3	1			05/18/06			
18	06	24		T3	1			05/18/06			
18	06	26		T3	1			05/18/06			
18	06	27		T3	1			05/18/06			
18	06	28		T3	1			05/18/06			
18	06	29		T3	1			05/18/06			
18	06	30		T3	1			05/18/06			
18	06	32		T3	1			05/18/06			
18	06	33		T3	1			05/18/06			
18	06	34		T3	1			05/18/06			
18	06	35		T3	1			05/18/06			
18	06	36	18-6-36	T3	1			05/18/06			
18	22	01	18-22-1	T3	1	Hetero		06/15/06		Aug 06	
18	22	02	18-22-2	T3	1	Hetero		06/15/06		Aug 06	
18	22	03	18-22-3	T3	1	Hetero		06/15/06		Aug 06	
18	22	04	18-22-4	T3	1	Homo		06/15/06		Aug 06	
18	22	05	18-22-5	T3	1	Homo		06/15/06		Aug 06	
18	22	06	18-22-6	T3	1	Hetero		06/15/06		Aug 06	
18	22	07	18-22-7	T3	1	Homo		06/15/06		Aug 06	
18	22	08	18-22-8	T3	1	Homo		06/15/06		Aug 06	
18	22	09	18-22-9	T3	1	Homo		06/15/06		Aug 06	
18	22	10	18-22-10	T3	1	Hetero		06/15/06		Aug 06	
18	22	11	18-22-11	T3	1	Hetero		06/15/06		Aug 06	
18	22	12	18-22-12	T3	1	Hetero		06/15/06		Aug 06	
18	22	13	18-22-13	T3	1	Hetero		06/15/06		Aug 06	
18	22	14	18-22-14	T3	1	Hetero		06/15/06		Aug 06	
18	22	16	18-22-16	T3	1	Hetero		06/15/06		Aug 06	
18	22	17	18-22-17	T3	1	Hetero		06/15/06		Aug 06	
18	22	18	18-22-18	T3	1	Hetero		06/15/06		Aug 06	
18	22	19	18-22-19	T3	1	Hetero		06/15/06		Aug 06	
18	22	20	18-22-20	T3	1	Hetero		06/15/06		Aug 06	
18	22	21	18-22-21	T3	1	Hetero		06/15/06		Aug 06	
18	22	22		T3	1			06/15/06			
18	22	24		T3	1			06/15/06			
18	22	25		T3	1			06/15/06			
18	22	26		T3	1			06/15/06			
18	22	27		T3	1			06/15/06			
18	22	28		T3	1			06/15/06			
18	22	29		T3	1			06/15/06			
18	22	31		T3	1			06/15/06			
18	22	32		T3	1			06/15/06			
18	22	34		T3	1			06/15/06			
18	22	35		T3	1			06/15/06			
18	22	36		T3	1			06/15/06			
19	02	01	19-2-1	T3	1	Homo		04/29/06		Aug 06	
19	02	02		T3	1	Homo		04/29/06		Aug 06	
19	02	03		T3	1	Hetero		04/29/06		Aug 06	
19	02	04		T3	1	Hetero		04/29/06		Aug 06	
19	02	05		T3	1	Hetero		04/29/06		Aug 06	
19	02	06		T3	1	Hetero		04/29/06		Aug 06	
19	02	07		T3	1	Hetero		04/29/06		Aug 06	
19	02	08		T3	1	Homo		04/29/06		Aug 06	
19	02	09		T3	1	Homo		04/29/06		Aug 06	
19	02	10		T3	1	Hetero		04/29/06		Aug 06	
19	02	11		T3	1			04/29/06			
19	02	12		T3	1			04/29/06			
19	02	13		T3	1			04/29/06			
19	02	14		T3	1			04/29/06			
19	02	15		T3	1			04/29/06			
19	05	01	19-5-1	T3	1	Hetero		04/25/06		Aug 06	
19	05	02		T3	1	Hetero		04/25/06		Aug 06	
19	05	03		T3	1	Hetero		04/25/06		Aug 06	
19	05	04		T3	1	Hetero		04/25/06		Aug 06	
19	05	05		T3	1	Hetero		04/25/06		Aug 06	
19	05	06		T3	1	Hetero		04/25/06		Aug 06	
19	05	07		T3	1	Hetero		04/25/06		Aug 06	
19	05	08		T3	1	Homo		04/25/06		Aug 06	
19	05	09		T3	1	Homo		04/25/06		Aug 06	
19	05	10		T3	1	Hetero		04/25/06		Aug 06	
19	05	11		T3	1			04/25/06			
19	05	12		T3	1			04/25/06			
19	05	13		T3	1			04/25/06			
19	05	14		T3	1			04/25/06			
19	05	15		T3	1			04/25/06			
19	05	16		T3	1			04/25/06			
19	05	17		T3	1			04/25/06			
19	05	18		T3	1			04/25/06			
19	05	19		T3	1			04/25/06			
19	06	01	19-6-1	T3	1	Homo		04/29/06			
19	06	02	19-6-2	T3	1	Hetero		04/29/06			
19	06	03	19-6-3	T3	1	Homo		04/29/06			
19	06	04	19-6-4	T3	1	Hetero		04/29/06			
19	06	05	19-6-5	T3	1	Hetero		04/29/06			
19	06	06	19-6-6	T3	1	Hetero		04/29/06			
19	06	07	19-6-7	T3	1	Hetero		04/29/06			
19	06	08	19-6-8	T3	1	Hetero		04/29/06			
19	06	09	19-6-9	T3	1	Hetero		04/29/06			
19	06	10	19-6-10	T3	1	Hetero		04/29/06			
19	06	11	19-6-11	T3	1	Hetero		04/29/06			
19	06	12	19-6-12	T3	1	Hetero		04/29/06			
19	06	13	19-6-13	T3	1	Homo		04/29/06			
19	06	14	19-6-14	T3	1	Homo		04/29/06			
19	06	15	19-6-15	T3	1	Hetero		04/29/06			
19	06	16	19-6-16	T3	1	Hetero		04/29/06			
19	06	17	19-6-17	T3	1	Hetero		04/29/06			
19	06	18	19-6-18	T3	1	Hetero		04/29/06			
19	06	19	19-6-19	T3	1	Hetero		04/29/06			
19	06	20	19-6-20	T3	1	Hetero		04/29/06			
19	06	21		T3	1			04/29/06			
19	06	22		T3	1			04/29/06			
19	06	23		T3	1			04/29/06			
19	06	24		T3	1			04/29/06			
19	06	25		T3	1			04/29/06			
19	06	26		T3	1			04/29/06			
19	20	01	19-20-1	T3	1			07/26/06			
19	20	02		T3	1			07/26/06			
19	20	03		T3	1			07/26/06			
19	20	04		T3	1			07/26/06			
19	20	05		T3	1			07/26/06			
19	20	06		T3	1			07/26/06			
19	20	07		T3	1			07/26/06			
19	20	08		T3	1			07/26/06			
19	20	09		T3	1			07/26/06			
19	20	10		T3	1			07/26/06			
19	20	11		T3	1			07/26/06			
19	20	12		T3	1			07/26/06			
19	20	13		T3	1			07/26/06			
19	20	14		T3	1			07/26/06			
19	20	15		T3	1			07/26/06			
19	20	16		T3	1			07/26/06			
19	20	17		T3	1			07/26/06			
19	20	18		T3	1			07/26/06			
19	20	19		T3	1			07/26/06			
19	20	20		T3	1			07/26/06			
19	20	21		T3	1			07/26/06			
19	20	22		T3	1			07/26/06			
19	22	01	19-22-1	T3	1			07/29/06			
19	22	02		T3	1			07/29/06			
19	22	03		T3	1			07/29/06			
19	22	04		T3	1			07/29/06			
19	22	05		T3	1			07/29/06			
19	22	06		T3	1			07/29/06			
19	22	07		T3	1			07/29/06			
19	22	08		T3	1			07/29/06			
19	22	09		T3	1			07/29/06			
19	22	10		T3	1			07/29/06			
19	22	11		T3	1			07/29/06			
19	22	12		T3	1			07/29/06			
19	22	13		T3	1			07/29/06			
19	22	14		T3	1			07/29/06			
19	22	15		T3	1			07/29/06			
19	22	16		T3	1			07/29/06			
19	22	17		T3	1			07/29/06			
19	22	18		T3	1			07/29/06			
19	22	19		T3	1			07/29/06			
19	22	20		T3	1			07/29/06			
19	22	21		T3	1			07/29/06			
19	22	22		T3	1			07/29/06			
19	22	23		T3	1			07/29/06			
19	22	24		T3	1			07/29/06			
19	22	25		T3	1			07/29/06			
19	22	26		T3	1			07/29/06			
19	22	27		T3	1			07/29/06			
19	22	28		T3	1			07/29/06			
19	22	29		T3	1			07/29/06			
19	22	30		T3	1			07/29/06			
19	22	31		T3	1			07/29/06			
19	22	32		T3	1			07/29/06			
19	22	33		T3	1			07/29/06			
19	22	34		T3	1			07/29/06			
19	22	35		T3	1			07/29/06			
19	22	36	19-22-36	T3	1			07/29/06			
19	30	01		T3	1			07/30/06			
19	30	02		T3	1			07/30/06			
19	30	03		T3	1			07/30/06			
19	30	04		T3	1			07/30/06			
19	30	05		T3	1			07/30/06			
19	30	06		T3	1			07/30/06			
19	30	07		T3	1			07/30/06			
19	30	08		T3	1			07/30/06			
19	30	09		T3	1			07/30/06			
19	30	10		T3	1			07/30/06			
19	30	11		T3	1			07/30/06			
19	30	12		T3	1			07/30/06			
19	30	13		T3	1			07/30/06			
19	30	14		T3	1			07/30/06			
19	30	15		T3	1			07/30/06			
19	30	16		T3	1			07/30/06			
19	30	17		T3	1			07/30/06			
19	30	18		T3	1			07/30/06			
19	30	19		T3	1			07/30/06			
19	30	20		T3	1			07/30/06			
19	30	21		T3	1			07/30/06			
19	30	22		T3	1			07/30/06			
19	30	23		T3	1			07/30/06			
19	30	24		T3	1			07/30/06			
19	30	25		T3	1			07/30/06			
19	30	26		T3	1			07/30/06			
19	30	27		T3	1			07/30/06			
20	01	01	20-1-1	T3	1			02/27/06	"Box1, RT"		
20	01	02		T3	1			02/27/06	"Box1, RT"		
20	01	03		T3	1			02/27/06	"Box1, RT"		
20	01	05		T3	1			02/27/06	"Box1, RT"		
20	01	06		T3	1			02/27/06	"Box1, RT"		
20	01	07		T3	1			02/27/06	"Box1, RT"		
20	01	09		T3	1			02/27/06	"Box1, RT"		
20	01	10		T3	1			02/27/06	"Box1, RT"		
20	01	11		T3	1			02/27/06	"Box1, RT"		
20	01	12		T3	1			02/27/06	"Box1, RT"		
20	01	14		T3	1			02/27/06	"Box1, RT"		
20	01	15		T3	1			02/27/06	"Box1, RT"		
20	01	16		T3	1			02/27/06	"Box1, RT"		
20	01	17		T3	1			02/27/06	"Box1, RT"		
20	01	18		T3	1			02/27/06	"Box1, RT"		
20	01	19		T3	1			02/27/06	"Box1, RT"		
20	01	20		T3	1			02/27/06	"Box1, RT"		
20	01	21		T3	1			02/27/06	"Box1, RT"		
20	01	22		T3	1			02/27/06	"Box1, RT"		
20	01	23		T3	1			02/27/06	"Box1, RT"		
20	01	25		T3	1			02/27/06	"Box1, RT"		
20	01	26		T3	1			02/27/06	"Box1, RT"		
20	01	27		T3	1			02/27/06	"Box1, RT"		
20	01	28		T3	1			02/27/06	"Box1, RT"		
20	01	30		T3	1			02/27/06	"Box1, RT"		
20	01	32		T3	1			02/27/06	"Box1, RT"		
20	01	36	20-1-36	T3	1			02/27/06	"Box1, RT"		
20	02	01	20-2-1	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	03	20-2-3	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	04	20-2-4	T3	1			03/09/06	"Box1, RT"		
20	02	05	20-2-5	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	06	20-2-6	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	07	20-2-7	T3	1	Homo		03/09/06	"Box1, RT"	Apr 06	
20	02	08	20-2-8	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	09	20-2-9	T3	1			03/09/06	"Box1, RT"		
20	02	10	20-2-10	T3	1	Homo		03/09/06	"Box1, RT"	Apr 06	
20	02	11	20-2-11	T3	1			03/09/06	"Box1, RT"		
20	02	12	20-2-12	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	13	20-2-13	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	15	20-2-15	T3	1	Homo		03/09/06	"Box1, RT"	Apr 06	
20	02	16	20-2-16	T3	1			03/09/06	"Box1, RT"		
20	02	18	20-2-18	T3	1	Hetero		03/09/06	"Box1, RT"	Apr 06	
20	02	19	20-2-19	T3	1	Homo		03/09/06	"Box1, RT"	Apr 06	
20	02	20		T3	1			03/09/06	"Box1, RT"		
20	02	21		T3	1			03/09/06	"Box1, RT"		
20	02	22		T3	1			03/09/06	"Box1, RT"		
20	02	23		T3	1			03/09/06	"Box1, RT"		
20	02	24		T3	1			03/09/06	"Box1, RT"		
20	02	25		T3	1			03/09/06	"Box1, RT"		
20	02	26		T3	1			03/09/06	"Box1, RT"		
20	02	27		T3	1			03/09/06	"Box1, RT"		
20	02	28		T3	1			03/09/06	"Box1, RT"		
20	02	29		T3	1			03/09/06	"Box1, RT"		
20	02	31		T3	1			03/09/06	"Box1, RT"		
20	02	32		T3	1			03/09/06	"Box1, RT"		
20	02	33		T3	1			03/09/06	"Box1, RT"		
20	02	35		T3	1			03/09/06	"Box1, RT"		
20	05	01	20-5-1	T3	1			03/07/06	"Box1, RT"		
20	05	02		T3	1			03/07/06	"Box1, RT"		
20	05	03		T3	1			03/07/06	"Box1, RT"		
20	05	04		T3	1			03/07/06	"Box1, RT"		
20	05	05		T3	1			03/07/06	"Box1, RT"		
20	05	06		T3	1			03/07/06	"Box1, RT"		
20	05	07		T3	1			03/07/06	"Box1, RT"		
20	05	08		T3	1			03/07/06	"Box1, RT"		
20	05	09		T3	1			03/07/06	"Box1, RT"		
20	05	10		T3	1			03/07/06	"Box1, RT"		
20	05	11		T3	1			03/07/06	"Box1, RT"		
20	05	12		T3	1			03/07/06	"Box1, RT"		
20	05	13		T3	1			03/07/06	"Box1, RT"		
20	05	14		T3	1			03/07/06	"Box1, RT"		
20	05	15		T3	1			03/07/06	"Box1, RT"		
20	05	16		T3	1			03/07/06	"Box1, RT"		
20	05	17		T3	1			03/07/06	"Box1, RT"		
20	05	18		T3	1			03/07/06	"Box1, RT"		
20	05	19		T3	1			03/07/06	"Box1, RT"		
20	05	20		T3	1			03/07/06	"Box1, RT"		
