JBS lab ID	T1 ID	T2 ID	HY T2 plant ID	Gene-ration	Batch ID	T-DNA insertion		Date harvested	Location stored	Date sown	Notes	
						Homo/Hetero	No. of insertions					
01	13	08	1-13-08	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	09	1-13-09	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	11	1-13-11	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	12	1-13-12	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	13	1-13-13	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	14	1-13-14	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	16	1-13-16	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	17	1-13-17	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	18	1-13-18	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	19	1-13-19	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	20	1-13-20	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	21	1-13-21	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	22	1-13-22	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	23	1-13-23	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	24	1-13-24	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	25	1-13-25	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	26	1-13-26	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	27	1-13-27	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	28	1-13-28	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	29	1-13-29	T3	1			03/13/06	"Box1, RT"		
01	13	30	1-13-30	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	31	1-13-31	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	32	1-13-32	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	33	1-13-33	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	34	1-13-34	T3	1			03/13/06	"Box1, RT"		
01	13	35	1-13-35	T3	1			03/13/06	"Box1, RT"		
2	18	1		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	2		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	3		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	4		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	5		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	6		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	7		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	8		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	9		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	10		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	11		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	12		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	13		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	14		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	15		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	16		T3	1	Hetero		10/25/06	"Box1, RT"		
2	18	17		T3	1	Hetero		10/25/06	"Box1, RT"		
