Library	ID	Plate	Well	Raw Value	Score	Stdev
MS	L119814	AT002-01	A05	4967.666667	0.931904666	333.9765461
MS	L119954	AT002-01	A06	7417.666667	1.09400855	1313.997844
MS	ST000892	AT002-01	A07	2920	0.57619259	285.2420025
MS	ST001070	AT002-01	A08	2696.666667	0.568444813	110.1196319
MS	ST001185	AT002-01	A09	2574.666667	0.482992125	251.7247174
MS	ST001273	AT002-01	A10	6516	0.961024542	751.0199731
MS	ST001350	AT002-01	A11	5338.666667	1.053458964	593.4512055
MS	L113670	AT002-01	B02	5488	1.15684492	261.8682875
MS	L118559	AT002-01	B03	6248.333333	1.172150101	130.008974
MS	L119563	AT002-01	B04	3827.333333	0.564481471	152.5133874
MS	L119830	AT002-01	B05	4860.333333	0.959071251	282.4789078
MS	L119962	AT002-01	B06	4278.333333	0.901852803	185.6672651
MS	ST000934	AT002-01	B07	4242.333333	0.795836454	332.7917267
MS	ST001072	AT002-01	B08	7198.333333	1.06165976	1064.451659
MS	ST001186	AT002-01	B09	5295.333333	1.044908161	458.7551998
MS	ST001274	AT002-01	B10	4648.333333	0.979847086	208.6727901
MS	ST001362	AT002-01	B11	6519.666667	1.223050618	520.2714035
MS	L115606	AT002-01	C02	6641.333333	0.979509565	787.332416
MS	L118567	AT002-01	C03	5531.666667	1.091542927	308.0021645
MS	L119571	AT002-01	C04	5011	1.056295535	253.9232167
MS	L119849	AT002-01	C05	5579	1.046587156	235.6628948
MS	L119970	AT002-01	C06	7098.666667	1.046960234	711.8604732
MS	ST000936	AT002-01	C07	5710	1.126732771	353.0892239
MS	ST001108	AT002-01	C08	3824.333333	0.806151711	229.3149217
MS	ST001239	AT002-01	C09	5698.333333	1.068973379	218.1108281
MS	ST001287	AT002-01	C10	7385	1.089190645	730.4621825
MS	ST001365	AT002-01	C11	5963.333333	1.176722082	684.2341217
MS	L115746	AT002-01	D02	5052.666667	1.065078675	160.7928274
MS	L118605	AT002-01	D03	5548	1.040771741	267.8133679
MS	L119768	AT002-01	D04	7780	1.147447965	377.9775126
MS	L119857	AT002-01	D05	5573.333333	1.099764853	1176.945765
MS	L120359	AT002-01	D06	5237.666667	1.104075816	62.81984824
MS	ST000951	AT002-01	D07	7464.666667	1.400326987	137.0012165
MS	ST001113	AT002-01	D08	7749.666667	1.142974196	1168.273227
MS	ST001251	AT002-01	D09	5559.333333	1.097002286	903.202266
MS	ST001291	AT002-01	D10	5941	1.252335217	88.45903006
MS	ST001367	AT002-01	D11	6245.666667	1.171649851	164.1472916
MS	L116831	AT002-01	E02	6062	0.894065496	751.9980053
MS	L118656	AT002-01	E03	5111.666667	1.00866591	348.9259711
MS	L119776	AT002-01	E04	5124.666667	1.080255941	224.0364554
MS	L119865	AT002-01	E05	5442	1.020886773	106.9719589
MS	L120588	AT002-01	E06	8088.333333	1.192923088	1623.333094
MS	ST001003	AT002-01	E07	5766.333333	1.137848815	429.083131
MS	ST001114	AT002-01	E08	4482.333333	0.944855056	165.8382746
MS	ST001260	AT002-01	E09	5299	0.994060825	268.9442321
MS	ST001300	AT002-01	E10	6636.333333	0.978772131	648.4090787
MS	ST001371	AT002-01	E11	5508.333333	1.086938648	270.5925596
MS	L116858	AT002-01	F02	5267	1.110259147	113.7145549
MS	L118885	AT002-01	F03	6286.666667	1.179341206	287.9537
MS	L119784	AT002-01	F04	7177.666667	1.058611698	838.2370389
MS	L119873	AT002-01	F05	5434.666667	1.072402282	393.3781048
MS	L120782	AT002-01	F06	5563.666667	1.172795103	142.0011737
MS	ST001042	AT002-01	F07	5622	1.0546537	132.5933633
MS	ST001116	AT002-01	F08	7269	1.072082167	672.4641254
MS	ST001263	AT002-01	F09	5497.333333	1.084768059	301.0537051
MS	ST001313	AT002-01	F10	4591	0.967761485	229.8869287
MS	ST001381	AT002-01	F11	4864.666667	0.912582479	349.1838102
MS	L117307	AT002-01	G02	7335.333333	1.081865463	1082.672773
MS	L118915	AT002-01	G03	4391.333333	0.86652525	522.154511
MS	L119792	AT002-01	G04	4915	1.036059181	328.0304864
MS	L119881	AT002-01	G05	6116.333333	1.147387688	193.5777191
MS	L120952	AT002-01	G06	7155.666667	1.055366986	636.0387829
MS	ST001047	AT002-01	G07	5008.666667	0.988341309	170.9073823
MS	ST001121	AT002-01	G08	5509.333333	1.161341888	267.9707696
MS	ST001266	AT002-01	G09	6973.666667	1.308218313	273.0317442
MS	ST001318	AT002-01	G10	5720.666667	0.843723306	757.9131437
MS	ST001383	AT002-01	G11	4912	0.96926644	938.0559685
MS	L118087	AT002-01	H02	4869	1.026362594	74.50503339
MS	L119105	AT002-01	H03	5227.666667	0.980679116	73.58215363
MS	L119806	AT002-01	H04	6667	0.983295062	181.2153415
MS	L119903	AT002-01	H05	4636	0.9148044	428.0140185
MS	L121878	AT002-01	H06	4933	1.039853497	232.2778509
MS	ST001065	AT002-01	H07	5864.666667	1.100176521	193.3968287
MS	ST001142	AT002-01	H08	6312	0.930937218	1316.835981
MS	ST001270	AT002-01	H09	6151	1.213753638	1016.324751
MS	ST001320	AT002-01	H10	5058	1.066202917	136.8648969
MS	ST001396	AT002-01	H11	4735	0.888257785	251.3881461
MS	L122033	AT003-01	A02	6213.666667	0.916434341	445.5898712
MS	L123528	AT003-01	A03	4794	0.945981945	175.803868
MS	L124702	AT003-01	A04	4216	0.888713226	337.6225703
MS	L126454	AT003-01	A05	5154	0.966859689	171.3154984
MS	L127914	AT003-01	A06	5762	0.849819431	852.0123239
MS	ST001445	AT003-01	A07	5032	0.992945587	751.8836346
MS	ST001551	AT003-01	A08	3239	0.682766162	121.5030864
MS	ST001617	AT003-01	A09	3578.333333	0.671274011	104.7870857
MS	ST001665	AT003-01	A10	6253.666667	0.922333816	561.936236
MS	ST001749	AT003-01	A11	4989.333333	0.984526335	330.4335536
MS	L122076	AT003-01	B02	4635	0.977036481	305.947708
MS	L123781	AT003-01	B03	5748	1.078290549	289.7291839
MS	L124915	AT003-01	B04	5846.333333	0.862257492	1046.652442
MS	L126527	AT003-01	B05	3908.666667	0.771282456	501.8509075
MS	L128309	AT003-01	B06	3936.666667	0.829831056	212.3683906
MS	ST001468	AT003-01	B07	4572.333333	0.857742488	378.1855805
MS	ST001553	AT003-01	B08	6606	0.974298362	777.2959539
MS	ST001622	AT003-01	B09	3534.333333	0.697416671	130.8905395
MS	ST001666	AT003-01	B10	5419	1.142300041	270.1129393
MS	ST001756	AT003-01	B11	4496.333333	0.843485341	50.083264
MS	L122122	AT003-01	C02	5273.333333	0.777747507	622.6895963
MS	L123897	AT003-01	C03	4209.333333	0.830611876	405.4187136
MS	L125032	AT003-01	C04	4031.333333	0.84978635	4.509249753
MS	L126861	AT003-01	C05	4407.333333	0.826789471	89.2319076
MS	L128562	AT003-01	C06	4652	0.686108989	187.1576875
MS	ST001470	AT003-01	C07	4719	0.931182477	137.0218961
MS	ST001554	AT003-01	C08	4201	0.885551296	206.9855067
MS	ST001623	AT003-01	C09	6901	1.294586479	223.9441895
MS	ST001678	AT003-01	C10	5432.333333	0.801197921	660.4485849
MS	ST001758	AT003-01	C11	5401.666667	1.065890517	160.6372726
MS	L122653	AT003-01	D02	5025.333333	1.059316935	221.0754019
MS	L124311	AT003-01	D03	5198.666667	0.975238889	108.6845589
MS	L125059	AT003-01	D04	6199.666667	0.914369524	91.02929931
MS	L126985	AT003-01	D05	4714.333333	0.930261622	339.684167
MS	L128767	AT003-01	D06	6066.666667	1.278825167	236.9226315
MS	ST001471	AT003-01	D07	5914.333333	1.109493691	70.99530501
MS	ST001572	AT003-01	D08	7277	1.073262062	454.7757689
MS	ST001625	AT003-01	D09	4590	0.905727394	746.9223521
MS	ST001679	AT003-01	D10	5265.333333	1.109907821	124.7290397
MS	ST001816	AT003-01	D11	5848.333333	1.097112485	295.3952155
MS	L122688	AT003-01	E02	5913.333333	0.872139113	380.7444462
MS	L124575	AT003-01	E03	4094.666667	0.807985135	522.2502593
MS	L125091	AT003-01	E04	3830.666667	0.807486748	286.4512757
MS	L127027	AT003-01	E05	4336	0.813407763	285.7323923
MS	L128848	AT003-01	E06	6455	0.952027842	1914.567575
MS	ST001473	AT003-01	E07	5426.666667	1.070823673	429.8945607
MS	ST001574	AT003-01	E08	3862	0.81409167	77.09085549
MS	ST001626	AT003-01	E09	5434.666667	1.019511083	272.7312474
MS	ST001725	AT003-01	E10	5409	0.797756561	865.1595229
MS	ST001817	AT003-01	E11	4806.333333	0.948415635	176.4350683
MS	L122726	AT003-01	F02	4034.333333	0.850418736	265.8013042
MS	L124583	AT003-01	F03	6945.333333	1.302903148	208.7135198
MS	L125199	AT003-01	F04	6726	0.991996788	970.3705478
MS	L127051	AT003-01	F05	4879.666667	0.962886225	96.71780257
MS	L128880	AT003-01	F06	4424.333333	0.932628926	236.424054
MS	ST001524	AT003-01	F07	5191.333333	0.9738632	185.0738591
MS	ST001575	AT003-01	F08	6375.333333	0.940278054	352.20212
MS	ST001627	AT003-01	F09	5598.333333	1.104698009	291.7556055
MS	ST001726	AT003-01	F10	4546	0.958275694	138.8056195
MS	ST001835	AT003-01	F11	5184	0.97248751	290.7180765
MS	L122831	AT003-01	G02	6467.666667	0.953896009	296.4158115
MS	L124648	AT003-01	G03	3530	0.69656159	517.1102397
MS	L125644	AT003-01	G04	4225.333333	0.890680649	136.1224939
MS	L127655	AT003-01	G05	5139.666667	0.964170841	34.12232896
MS	L129445	AT003-01	G06	7270	1.072229653	557.549101
MS	ST001536	AT003-01	G07	4632.333333	0.914080871	113.8083184
MS	ST001600	AT003-01	G08	4529	0.954692173	116.5032188
MS	ST001644	AT003-01	G09	5727.333333	1.074413606	107.0996421
MS	ST001735	AT003-01	G10	4585	0.676227367	700.3277804
MS	ST001847	AT003-01	G11	5637.333333	1.112393732	333.3561659
MS	L123072	AT003-01	H02	6851.666667	1.444299523	35.34590971
MS	L124699	AT003-01	H03	6023	1.129878911	154.3113735
MS	L126322	AT003-01	H04	6157.666667	0.908175075	391.4030318
MS	L127884	AT003-01	H05	4647.666667	0.91710654	300.5034664
MS	L129771	AT003-01	H06	5699.666667	1.201463271	376.3088271
MS	ST001549	AT003-01	H07	3793.333333	0.71160673	85.58231905
